data,label
04/11/11,04-11-2011
09 mars 2050,09-03-2050
24/01/2019,24-01-2019
20 september 2050,20-09-2050
den tjugosjunde 05 2019,27-05-2019
08 september 2019,08-09-2019
05 oktober 2019,05-10-2019
21.07.2019,21-07-2019
den åttonde april 2019,08-04-2019
24/03/2011,24-03-2011
den artonde 10 2011,18-10-2011
den nittonde 01 2019,19-01-2019
15.04.50,15-04-2050
20.01.2019,20-01-2019
28/08/11,28-08-2011
12.09.2011,12-09-2011
30/11/2011,30-11-2011
02/09/19,02-09-2019
den femtonde maj 2019,15-05-2019
21.04.19,21-04-2019
27/12/11,27-12-2011
27.10.2050,27-10-2050
15.03.19,15-03-2019
26.12.2019,26-12-2019
den tjugosjätte september 2050,26-09-2050
den sextonde 02 2011,16-02-2011
21/05/2011,21-05-2011
den sjunde 07 2011,07-07-2011
15/12/50,15-12-2050
26.06.2050,26-06-2050
26/03/2050,26-03-2050
09.04.2011,09-04-2011
den tjugofemte juni 2019,25-06-2019
31/01/2050,31-01-2050
27/09/11,27-09-2011
10/08/2050,10-08-2050
01.06.19,01-06-2019
02/06/2011,02-06-2011
23/10/50,23-10-2050
06.12.50,06-12-2050
04.06.2050,04-06-2050
22/08/50,22-08-2050
den nionde 02 2019,09-02-2019
24/12/2050,24-12-2050
den sjuttonde september 2019,17-09-2019
13 januari 2050,13-01-2050
den sjuttonde 09 2011,17-09-2011
den tjugonionde 03 2011,29-03-2011
30/01/2011,30-01-2011
04/06/2011,04-06-2011
05.06.19,05-06-2019
02.09.50,02-09-2050
11.07.2019,11-07-2019
den femte 10 2011,05-10-2011
16/10/50,16-10-2050
04.08.2050,04-08-2050
den tjugoåttonde maj 2011,28-05-2011
19.07.11,19-07-2011
17/11/2019,17-11-2019
16.02.19,16-02-2019
13/03/50,13-03-2050
18/05/50,18-05-2050
den tjugotredje 05 2011,23-05-2011
13.02.19,13-02-2019
07/08/11,07-08-2011
den tionde oktober 2050,10-10-2050
den tjugotredje juli 2050,23-07-2050
13.11.19,13-11-2019
den trettioförsta juli 2050,31-07-2050
11.08.11,11-08-2011
08 maj 2050,08-05-2050
den trettioförsta 08 2050,31-08-2050
22/12/2050,22-12-2050
19/03/2050,19-03-2050
24.04.2050,24-04-2050
08/01/2019,08-01-2019
19/04/2019,19-04-2019
02.06.2019,02-06-2019
02 februari 2011,02-02-2011
13.07.2050,13-07-2050
den sextonde 08 2050,16-08-2050
21.01.2019,21-01-2019
03.05.50,03-05-2050
den sjätte januari 2019,06-01-2019
16/04/2019,16-04-2019
14/10/50,14-10-2050
02.07.19,02-07-2019
22.07.19,22-07-2019
20.05.19,20-05-2019
18.11.50,18-11-2050
den tjugofjärde oktober 2019,24-10-2019
26/05/2011,26-05-2011
20.06.50,20-06-2050
16/12/2019,16-12-2019
26/06/19,26-06-2019
17.01.19,17-01-2019
02.03.2050,02-03-2050
12.02.19,12-02-2019
19/01/50,19-01-2050
12/03/11,12-03-2011
28/02/19,28-02-2019
20.03.2050,20-03-2050
24.06.2019,24-06-2019
19 januari 2011,19-01-2011
24.05.2050,24-05-2050
den nionde 09 2050,09-09-2050
den tjugoförsta 05 2050,21-05-2050
12/11/2050,12-11-2050
24.12.11,24-12-2011
08.12.11,08-12-2011
28.10.19,28-10-2019
den sjätte december 2019,06-12-2019
12.07.19,12-07-2019
20 februari 2011,20-02-2011
17.01.50,17-01-2050
12/09/19,12-09-2019
28/04/2011,28-04-2011
23 november 2019,23-11-2019
den tjugonde 10 2019,20-10-2019
09/05/2011,09-05-2011
10 juli 2050,10-07-2050
28/12/50,28-12-2050
25.09.2019,25-09-2019
11.12.2011,11-12-2011
07.12.19,07-12-2019
08.03.2011,08-03-2011
27.09.50,27-09-2050
den sextonde augusti 2011,16-08-2011
15/07/2050,15-07-2050
16/11/19,16-11-2019
16/08/2019,16-08-2019
27.08.50,27-08-2050
den sjätte 05 2019,06-05-2019
15.03.11,15-03-2011
15/06/2011,15-06-2011
04.07.2019,04-07-2019
den femte 04 2050,05-04-2050
10.11.50,10-11-2050
01/07/11,01-07-2011
den sjätte 12 2011,06-12-2011
den fjärtonde juni 2050,14-06-2050
08/11/2019,08-11-2019
23 april 2019,23-04-2019
26.01.2011,26-01-2011
den femtonde januari 2019,15-01-2019
12.04.2011,12-04-2011
den tjugonionde mars 2050,29-03-2050
26.11.2019,26-11-2019
10 februari 2050,10-02-2050
21.01.2050,21-01-2050
den trettionde januari 2050,30-01-2050
01 maj 2011,01-05-2011
23.06.2011,23-06-2011
07.03.50,07-03-2050
25.12.50,25-12-2050
23.11.2050,23-11-2050
den femtonde 04 2011,15-04-2011
den tjugotredje 01 2050,23-01-2050
04/08/19,04-08-2019
den tjugosjunde januari 2050,27-01-2050
21.06.2050,21-06-2050
31.12.2019,31-12-2019
01/09/19,01-09-2019
28/05/2019,28-05-2019
den nionde september 2019,09-09-2019
den andra november 2011,02-11-2011
23.12.2011,23-12-2011
27 mars 2011,27-03-2011
27/06/2019,27-06-2019
14.12.50,14-12-2050
13.08.2050,13-08-2050
05.04.2011,05-04-2011
15/07/2019,15-07-2019
26.04.19,26-04-2019
23.03.2019,23-03-2019
10.12.2050,10-12-2050
27 november 2011,27-11-2011
08 maj 2019,08-05-2019
11/06/2019,11-06-2019
16 januari 2050,16-01-2050
30.12.2011,30-12-2011
10/10/11,10-10-2011
16 mars 2050,16-03-2050
18.01.2011,18-01-2011
den åttonde mars 2019,08-03-2019
den sjunde 03 2019,07-03-2019
den artonde 07 2050,18-07-2050
den tionde 08 2019,10-08-2019
21/07/2011,21-07-2011
den tjugoandra september 2011,22-09-2011
25 september 2011,25-09-2011
den artonde 08 2019,18-08-2019
18 februari 2019,18-02-2019
09/05/19,09-05-2019
02/04/2050,02-04-2050
17/12/2011,17-12-2011
08.07.2019,08-07-2019
09.08.2011,09-08-2011
den sjunde november 2011,07-11-2011
07/02/50,07-02-2050
13/05/2011,13-05-2011
den nionde juni 2050,09-06-2050
03/01/50,03-01-2050
01 december 2019,01-12-2019
01/01/11,01-01-2011
24 januari 2050,24-01-2050
14.04.2019,14-04-2019
16.06.2011,16-06-2011
01/03/11,01-03-2011
08/01/2011,08-01-2011
den fjärde maj 2011,04-05-2011
04/11/2019,04-11-2019
16/09/2050,16-09-2050
25.05.19,25-05-2019
den första 10 2019,01-10-2019
den första augusti 2011,01-08-2011
30 juli 2050,30-07-2050
29/08/2019,29-08-2019
10.09.2050,10-09-2050
12 december 2050,12-12-2050
den tjugonde 11 2019,20-11-2019
07 september 2019,07-09-2019
16 maj 2019,16-05-2019
12.07.50,12-07-2050
03/03/19,03-03-2019
den tredje 03 2050,03-03-2050
06/11/2019,06-11-2019
04/05/2019,04-05-2019
den elfte 09 2011,11-09-2011
17/04/11,17-04-2011
30/03/2019,30-03-2019
11/11/19,11-11-2019
den sjunde juni 2019,07-06-2019
24 oktober 2011,24-10-2011
den åttonde 08 2011,08-08-2011
den tjugosjätte 05 2019,26-05-2019
01.02.50,01-02-2050
02.07.2011,02-07-2011
10 december 2011,10-12-2011
02.12.11,02-12-2011
16 oktober 2019,16-10-2019
25.01.11,25-01-2011
17/10/19,17-10-2019
22/01/2050,22-01-2050
14 mars 2019,14-03-2019
26 april 2011,26-04-2011
den sjuttonde 10 2011,17-10-2011
den tjugofemte 10 2011,25-10-2011
29/04/19,29-04-2019
den tjugosjunde 06 2011,27-06-2011
13 april 2019,13-04-2019
02.01.50,02-01-2050
10/05/2019,10-05-2019
den fjärtonde augusti 2011,14-08-2011
20/07/2050,20-07-2050
den elfte juni 2050,11-06-2050
den elfte augusti 2019,11-08-2019
18.12.2011,18-12-2011
23/12/50,23-12-2050
den artonde maj 2019,18-05-2019
04 september 2019,04-09-2019
den trettioförsta maj 2019,31-05-2019
14/08/19,14-08-2019
05.07.2050,05-07-2050
den dolfte 11 2011,12-11-2011
21/08/50,21-08-2050
18.10.2050,18-10-2050
07/04/50,07-04-2050
den fjärde 03 2011,04-03-2011
09.02.2011,09-02-2011
den tjugosjunde februari 2019,27-02-2019
07 maj 2011,07-05-2011
22/01/11,22-01-2011
den tjugofjärde november 2050,24-11-2050
17/02/2019,17-02-2019
17.04.2019,17-04-2019
25/12/11,25-12-2011
21.10.2011,21-10-2011
den andra maj 2011,02-05-2011
den andra 10 2019,02-10-2019
13.11.2011,13-11-2011
11/02/11,11-02-2011
den andra 02 2019,02-02-2019
den åttonde april 2050,08-04-2050
den trettionde 12 2050,30-12-2050
19.07.2050,19-07-2050
29/11/2019,29-11-2019
den tionde september 2011,10-09-2011
10.12.19,10-12-2019
den tjugoåttonde 07 2011,28-07-2011
14.07.19,14-07-2019
den femte 08 2050,05-08-2050
31.03.11,31-03-2011
26/08/2050,26-08-2050
den tjugonde 02 2019,20-02-2019
den andra 05 2050,02-05-2050
15.10.50,15-10-2050
den trettionde april 2050,30-04-2050
01/06/2050,01-06-2050
21/09/2019,21-09-2019
26/02/2011,26-02-2011
den sextonde 07 2019,16-07-2019
den sjätte september 2050,06-09-2050
11/12/2019,11-12-2019
18.07.2019,18-07-2019
den femte januari 2011,05-01-2011
20.04.50,20-04-2050
11 augusti 2050,11-08-2050
25.10.2050,25-10-2050
10/02/2019,10-02-2019
24.05.11,24-05-2011
17/06/2019,17-06-2019
02.10.2011,02-10-2011
01.05.50,01-05-2050
28.11.2011,28-11-2011
19.02.11,19-02-2011
15 november 2050,15-11-2050
den tjugosjätte 01 2050,26-01-2050
24/05/2019,24-05-2019
15 september 2050,15-09-2050
den tjugonde december 2050,20-12-2050
den sjätte februari 2011,06-02-2011
15/11/11,15-11-2011
20/09/2011,20-09-2011
06.10.2011,06-10-2011
29/06/50,29-06-2050
den tjugoandra 06 2019,22-06-2019
14/05/2019,14-05-2019
den tjugoandra november 2050,22-11-2050
30.04.11,30-04-2011
den sjätte juni 2050,06-06-2050
14.10.11,14-10-2011
25.08.2011,25-08-2011
den artonde 03 2011,18-03-2011
den tjugonionde maj 2011,29-05-2011
26 juli 2050,26-07-2050
den elfte februari 2019,11-02-2019
den nittonde 04 2050,19-04-2050
02.06.50,02-06-2050
den nittonde juni 2019,19-06-2019
07/09/2050,07-09-2050
14.04.2011,14-04-2011
19/05/2011,19-05-2011
28 februari 2050,28-02-2050
21 november 2019,21-11-2019
01/03/19,01-03-2019
19/08/19,19-08-2019
18 augusti 2050,18-08-2050
12.01.50,12-01-2050
den tjugosjätte 04 2050,26-04-2050
25/07/2050,25-07-2050
08.08.2019,08-08-2019
den tjugonde 10 2011,20-10-2011
08/08/2050,08-08-2050
26.02.2019,26-02-2019
12.12.2011,12-12-2011
23.08.2050,23-08-2050
den fjärtonde september 2011,14-09-2011
20.06.19,20-06-2019
den tjugosjunde 05 2011,27-05-2011
07/04/2011,07-04-2011
16/11/50,16-11-2050
den trettionde september 2019,30-09-2019
den nionde 01 2019,09-01-2019
09.06.19,09-06-2019
05.09.2019,05-09-2019
den andra 08 2050,02-08-2050
06.09.2011,06-09-2011
den artonde 09 2011,18-09-2011
den femtonde juni 2019,15-06-2019
29/04/2011,29-04-2011
14/12/2011,14-12-2011
20/10/2050,20-10-2050
den fjärde oktober 2019,04-10-2019
den första september 2011,01-09-2011
den sextonde oktober 2011,16-10-2011
09.02.50,09-02-2050
01 juni 2011,01-06-2011
22/04/2050,22-04-2050
24/02/11,24-02-2011
den nionde oktober 2011,09-10-2011
30.08.11,30-08-2011
den tionde 11 2019,10-11-2019
11.09.50,11-09-2050
den femtonde 10 2019,15-10-2019
den tionde 03 2019,10-03-2019
19.09.50,19-09-2050
17/02/2050,17-02-2050
den sjunde augusti 2050,07-08-2050
28 juni 2011,28-06-2011
den tredje december 2011,03-12-2011
11.01.2011,11-01-2011
den tjugosjunde 04 2050,27-04-2050
